game_id,status,shift_rows,error
2024021312,covered,693,
2024021311,covered,764,
2024021310,covered,726,
2024021309,covered,781,
2024021308,covered,797,
2024021307,covered,761,
2024021306,covered,697,
2024021305,covered,697,
2024021304,covered,762,
2024021303,covered,775,
2024021302,covered,723,
2024021301,covered,728,
2024021300,covered,717,
2024021299,covered,806,
2024021298,covered,755,
2024021297,covered,822,
2024021296,covered,741,
2024021295,covered,725,
2024021294,covered,743,
2024021293,covered,749,
2024021292,covered,826,
2024021291,missing,0,
2024021290,missing,0,
2024021289,missing,0,
2024021288,missing,0,
2024021287,missing,0,
2024021286,missing,0,
2024021285,missing,0,
2024021284,missing,0,
2024021283,missing,0,
2024021282,missing,0,
2024021281,missing,0,
2024021280,missing,0,
2024021279,missing,0,
2024021278,missing,0,
2024021277,missing,0,
2024021276,missing,0,
2024021275,missing,0,
2024021274,missing,0,
2024021273,missing,0,
2024021272,missing,0,
2024021271,missing,0,
2024021270,missing,0,
2024021269,missing,0,
2024021268,missing,0,
2024021267,missing,0,
2024021266,missing,0,
2024021265,missing,0,
2024021264,missing,0,
2024021263,missing,0,
